address,suburb,postcode,sale_price,sale_date,bedrooms,bathrooms,parking,land_size_sqm,property_type,description,listing_url,agent_name,agency_name
"3 Joywood St, Tarragindi, QLD 4121",Tarragindi,4121,,5 Dec 2025,3,2,4,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/3-joywood-st-tarragindi-qld-4121-3394426,Piers Crawford,Ray White Holland Park
"23 Newington St, Tarragindi, QLD 4121",Tarragindi,4121,1908000,27 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/23-newington-st-tarragindi-qld-4121-3399878,Mitchell Smith,Place - Woolloongabba
"8 Willis St, Tarragindi, QLD 4121",Tarragindi,4121,,24 Nov 2025,3,1,4,868,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/8-willis-st-tarragindi-qld-4121-4146769,Mark Diamond,Atlas | Brisbane
"44 Moorbell St, Tarragindi, QLD 4121",Tarragindi,4121,1495000,20 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/44-moorbell-st-tarragindi-qld-4121-3400592,Jacob Secco,RE/MAX ELEVATE
"1 Bramston St, Tarragindi, QLD 4121",Tarragindi,4121,1528755,15 Nov 2025,4,2,4,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/1-bramston-st-tarragindi-qld-4121-3434127,Andrew Weeks,Strud Property
"15 Benbow St, Tarragindi, QLD 4121",Tarragindi,4121,,13 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/15-benbow-st-tarragindi-qld-4121-5037556,Michael Nolan,Ray White West End
"99 Laura St, Tarragindi, QLD 4121",Tarragindi,4121,510000,13 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/99-laura-st-tarragindi-qld-4121-3387080,,
"15 Esther St, Tarragindi, QLD 4121",Tarragindi,4121,2060000,12 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/15-esther-st-tarragindi-qld-4121-3389935,Mark Diamond,Atlas | Brisbane
"20 Marlton St, Tarragindi, QLD 4121",Tarragindi,4121,1180000,12 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/20-marlton-st-tarragindi-qld-4121-5036261,Darren Lewis-Date,RE/MAX ELEVATE
"52 Weller Rd, Tarragindi, QLD 4121",Tarragindi,4121,1160000,7 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/52-weller-rd-tarragindi-qld-4121-3439136,Michael Oslar,Aurora Property Brisbane
"35 Peronne Rd, Tarragindi, QLD 4121",Tarragindi,4121,1415000,4 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/35-peronne-rd-tarragindi-qld-4121-5035925,Jonah Burrell,Ray White Holland Park
"116 Monash Rd, Tarragindi, QLD 4121",Tarragindi,4121,1562500,4 Nov 2025,3,1,4,599,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/116-monash-rd-tarragindi-qld-4121-3398727,,
"8/14 Andrew Ave, Tarragindi, QLD 4121",Tarragindi,4121,1600000,29 Oct 2025,4,3,2,727,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/8-14-andrew-ave-tarragindi-qld-4121-11505184,Mark Diamond,Atlas | Brisbane
"71 Sunshine Ave, Tarragindi, QLD 4121",Tarragindi,4121,,28 Oct 2025,4,2,2,607,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/71-sunshine-ave-tarragindi-qld-4121-3399630,Kristian Gorgieski,NGU REAL ESTATE EAST BRISBANE PTY LTD
"123 Bramston St, Tarragindi, QLD 4121",Tarragindi,4121,1400000,28 Oct 2025,3,1,2,665,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/123-bramston-st-tarragindi-qld-4121-3400172,Irena Jansa,Huis estate agents
"7 Crestview St, Kenmore, QLD 4069",Kenmore,4069,1800000,13 Dec 2025,4,3,2,736,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/7-crestview-st-kenmore-qld-4069-2962043,Gill Barr,Barr Estate Agents
"52 Kingfisher Pl, Kenmore, QLD 4069",Kenmore,4069,,11 Dec 2025,3,2,3,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/52-kingfisher-pl-kenmore-qld-4069-5093326,Sarah Hackett,Place New Farm
"9 Dumfries St, Kenmore, QLD 4069",Kenmore,4069,1300000,10 Dec 2025,4,2,2,1434,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/9-dumfries-st-kenmore-qld-4069-2952351,Deron Wang,Brisbane Real Estate - Chapel Hill
"40 Mabb St, Kenmore, QLD 4069",Kenmore,4069,1810000,7 Dec 2025,4,3,2,819,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/40-mabb-st-kenmore-qld-4069-2962379,Deron Wang,Brisbane Real Estate - Chapel Hill
"46 Wongabel St, Kenmore, QLD 4069",Kenmore,4069,1360000,1 Dec 2025,3,1,1,612,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/46-wongabel-st-kenmore-qld-4069-2961210,Taryn Phillips,Priority Residential
"6 Belford St, Kenmore, QLD 4069",Kenmore,4069,1230000,28 Nov 2025,4,1,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/6-belford-st-kenmore-qld-4069-2962398,Louie Maxwell,Raine & Horne Brisbane West
"8 Bilara St, Kenmore, QLD 4069",Kenmore,4069,1360888,26 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/8-bilara-st-kenmore-qld-4069-5089937,Deron Wang,Brisbane Real Estate - Chapel Hill
"62/7 Lawrence Lyons Pl, Kenmore, QLD 4069",Kenmore,4069,1267700,25 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/62-7-lawrence-lyons-pl-kenmore-qld-4069-43076745,John Heng,Aurora Property Brisbane
"28/56 Kersley Rd, Kenmore, QLD 4069",Kenmore,4069,,22 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/28-56-kersley-rd-kenmore-qld-4069-3817006,Jo Langstaff,Ray White Metrowest Residential
"75 Twilight St, Kenmore, QLD 4069",Kenmore,4069,1580000,20 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/75-twilight-st-kenmore-qld-4069-2948636,Agent name not disclosed,EXP AUSTRALIA QLD
"30 Dumbarton Dr, Kenmore, QLD 4069",Kenmore,4069,,20 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/30-dumbarton-dr-kenmore-qld-4069-3386813,Jenny Scott,Harcourts Solutions
"26 Pentlay St, Kenmore, QLD 4069",Kenmore,4069,1450000,9 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/26-pentlay-st-kenmore-qld-4069-2962318,Deron Wang,Brisbane Real Estate - Chapel Hill
"2289 Moggill Rd, Kenmore, QLD 4069",Kenmore,4069,900000,8 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/2289-moggill-rd-kenmore-qld-4069-2949150,Agent name not disclosed,Coronis West
"33 Trenton St, Kenmore, QLD 4069",Kenmore,4069,1802000,2 Nov 2025,4,1,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/33-trenton-st-kenmore-qld-4069-5090143,Deron Wang,Brisbane Real Estate - Chapel Hill
"9 Holdway St, Kenmore, QLD 4069",Kenmore,4069,1738000,2 Nov 2025,4,2,2,830,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/9-holdway-st-kenmore-qld-4069-2961388,Deron Wang,Brisbane Real Estate - Chapel Hill
"50 Aberfeldy St, Kenmore, QLD 4069",Kenmore,4069,,1 Nov 2025,4,2,2,655,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/50-aberfeldy-st-kenmore-qld-4069-2970244,Jo Langstaff,Ray White Metrowest Residential
"17 Harvard St, Kenmore, QLD 4069",Kenmore,4069,,30 Oct 2025,4,2,1,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/17-harvard-st-kenmore-qld-4069-2962435,Jo Langstaff,Ray White Metrowest Residential
"12 Merlin Tce, Kenmore, QLD 4069",Kenmore,4069,,30 Oct 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/12-merlin-tce-kenmore-qld-4069-2962408,Agent name not disclosed,Square Real Estate
"64 Boxgrove Ave, Wynnum, QLD 4178",Wynnum,4178,1040000,15 Dec 2025,3,1,2,405,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/64-boxgrove-ave-wynnum-qld-4178-3527915,David Pearce,Bayside Property Agents
"10 Cassiopeia Pl, Wynnum, QLD 4178",Wynnum,4178,,9 Dec 2025,4,2,2,869,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/10-cassiopeia-pl-wynnum-qld-4178-15980756,Josh Hobl,Ray White Wilston
"34 Radius St, Wynnum, QLD 4178",Wynnum,4178,1315000,9 Dec 2025,4,3,2,405,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/34-radius-st-wynnum-qld-4178-5731334,Ben Carroll,Harcourts Property Centre
"258 Wynnum North Rd, Wynnum, QLD 4178",Wynnum,4178,1385000,5 Dec 2025,4,1,2,888,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/258-wynnum-north-rd-wynnum-qld-4178-5044151,Michelle Collingwood-Bremner,Lamonds Estate Agents
"115 Tamaree Ave, Wynnum, QLD 4178",Wynnum,4178,,2 Dec 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/115-tamaree-ave-wynnum-qld-4178-4178366,David Lazarus,Place Gumdale
"24 Waterview Ave, Wynnum, QLD 4178",Wynnum,4178,,28 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/24-waterview-ave-wynnum-qld-4178-4177865,Gaby McEwan,McGrath Wynnum-Manly
"100 Boxgrove Ave, Wynnum, QLD 4178",Wynnum,4178,,26 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/100-boxgrove-ave-wynnum-qld-4178-3493692,Rebekah Parker,FreedomProperty
"23 Ryder St, Wynnum, QLD 4178",Wynnum,4178,1235000,26 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/23-ryder-st-wynnum-qld-4178-4175793,Amy Argyros,Harcourts Inner East
"121 Wynnum North Rd, Wynnum, QLD 4178",Wynnum,4178,1045000,22 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/121-wynnum-north-rd-wynnum-qld-4178-3511099,Jonah Burrell,Ray White Holland Park
"168a West Ave, Wynnum, QLD 4178",Wynnum,4178,,15 Nov 2025,3,1,3,766,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/168a-west-ave-wynnum-qld-4178-5045965,Danny Day,Ocean Realty
"3 Karloo St, Wynnum, QLD 4178",Wynnum,4178,1070000,15 Nov 2025,3,1,4,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/3-karloo-st-wynnum-qld-4178-3493934,Ryan Poh,McGrath Mt Gravatt
"84 Mountjoy Tce, Wynnum, QLD 4178",Wynnum,4178,1850000,7 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/84-mountjoy-tce-wynnum-qld-4178-3492989,Kristian Parker,FreedomProperty
"35 Meilandt St, Wynnum, QLD 4178",Wynnum,4178,1225000,7 Nov 2025,3,1,2,716,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/35-meilandt-st-wynnum-qld-4178-5044194,Amy Argyros,Harcourts Inner East
"22a Carlton Tce, Wynnum, QLD 4178",Wynnum,4178,,7 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/22a-carlton-tce-wynnum-qld-4178-14493594,Jarrod Perry,Atlas | Brisbane
"51 Shepherd St, Wynnum, QLD 4178",Wynnum,4178,1435000,6 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/51-shepherd-st-wynnum-qld-4178-4177703,Josh Warren,Atlas | Brisbane
"2265 Wynnum Rd, Wynnum, QLD 4178",Wynnum,4178,1460000,4 Nov 2025,3,1,2,405,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/2265-wynnum-rd-wynnum-qld-4178-5046142,,
"12 Primrose Pde, Wynnum, QLD 4178",Wynnum,4178,,4 Nov 2025,4,2,1,703,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/12-primrose-pde-wynnum-qld-4178-11378459,Gaby McEwan,McGrath Wynnum-Manly
"92 Boxgrove Ave, Wynnum, QLD 4178",Wynnum,4178,1060000,1 Nov 2025,4,1,1,405,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/92-boxgrove-ave-wynnum-qld-4178-3469037,Helen Politis,Harcourts Property Centre
"Lot 1/105 Chestnut St, Wynnum, QLD 4178",Wynnum,4178,885000,31 Oct 2025,,,,,House,,https://www.onthehouse.com.au/property/qld/wynnum-4178/lot-1-105-chestnut-st-wynnum-qld-4178-43489641,,
"81a Stuart St, Bulimba, QLD 4171",Bulimba,4171,2775000,20 Dec 2025,4,3,8,320,House,,https://www.onthehouse.com.au/property/qld/bulimba-4171/81a-stuart-st-bulimba-qld-4171-19477452,Carla Haddan,Place Bulimba
"75 Jamieson St, Bulimba, QLD 4171",Bulimba,4171,2230000,12 Dec 2025,4,1,2,734,House,,https://www.onthehouse.com.au/property/qld/bulimba-4171/75-jamieson-st-bulimba-qld-4171-2605125,Chris Rice,Place Bulimba
"65 Jamieson St, Bulimba, QLD 4171",Bulimba,4171,3040000,29 Nov 2025,3,1,2,1161,House,,https://www.onthehouse.com.au/property/qld/bulimba-4171/65-jamieson-st-bulimba-qld-4171-5018777,Chris Lawsen,Harcourts Inner East
"20 Byron St, Bulimba, QLD 4171",Bulimba,4171,2050000,29 Nov 2025,4,2,2,405,House,,https://www.onthehouse.com.au/property/qld/bulimba-4171/20-byron-st-bulimba-qld-4171-5019016,Agent name not disclosed,Place Bulimba
"12 Merry St, Bulimba, QLD 4171",Bulimba,4171,2355000,27 Nov 2025,4,2,3,,House,,https://www.onthehouse.com.au/property/qld/bulimba-4171/12-merry-st-bulimba-qld-4171-2605651,Carla Haddan,Place Bulimba
"29 Sydney St, Redcliffe, QLD 4020",Redcliffe,4020,,12 Dec 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/29-sydney-st-redcliffe-qld-4020-4923047,Maddie Dolan,CENTURY 21 Maddies Hermans
"15 O'Connell St, Redcliffe, QLD 4020",Redcliffe,4020,,9 Dec 2025,4,1,2,,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/15-o-connell-st-redcliffe-qld-4020-39236134,Ben Campbell,Ray White Redcliffe
"43 Ella St, Redcliffe, QLD 4020",Redcliffe,4020,,4 Dec 2025,3,1,2,430,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/43-ella-st-redcliffe-qld-4020-3221784,Damien Misso,Ray White Collective
"50 Longland St, Redcliffe, QLD 4020",Redcliffe,4020,1125000,25 Nov 2025,3,2,2,405,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/50-longland-st-redcliffe-qld-4020-3262589,Ben Campbell,Ray White Redcliffe
"1 Hinton St, Redcliffe, QLD 4020",Redcliffe,4020,,25 Nov 2025,3,2,2,405,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/1-hinton-st-redcliffe-qld-4020-3240181,Ben Campbell,Ray White Redcliffe
"2 Houghton Ave, Redcliffe, QLD 4020",Redcliffe,4020,,19 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/2-houghton-ave-redcliffe-qld-4020-5433269,Trent Cattanach,Crown Properties
"5 Nique Ct, Redcliffe, QLD 4020",Redcliffe,4020,927500,18 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/5-nique-ct-redcliffe-qld-4020-5435616,Joshua Thomas,CENTURY 21 Maddies Hermans
"19 Aleisha Ct, Redcliffe, QLD 4020",Redcliffe,4020,,12 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/redcliffe-4020/19-aleisha-ct-redcliffe-qld-4020-5435634,Bayli Robertson,Ray White Bracken Ridge
"9 Halbury Ct, Helensvale, QLD 4212",Helensvale,4212,1200000,22 Dec 2025,4,2,0,880,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/9-halbury-ct-helensvale-qld-4212-2912751,John Waldron,Hillsea Real Estate Helensvale
"42 The Peninsula, Helensvale, QLD 4212",Helensvale,4212,2100000,22 Dec 2025,4,2,2,764,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/42-the-peninsula-helensvale-qld-4212-2923432,Ben Williams,RE/MAX REGENCY
"43 Tranquility Cct, Helensvale, QLD 4212",Helensvale,4212,1310000,22 Dec 2025,4,2,2,602,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/43-tranquility-cct-helensvale-qld-4212-2906743,Stephen Cone,Professionals Vertullo Real Estate
"13 Wandilla Dr, Helensvale, QLD 4212",Helensvale,4212,1200000,18 Dec 2025,3,2,2,452,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/13-wandilla-dr-helensvale-qld-4212-2916594,Joel Boniwell,Harcourts Property Hub
"45 Lakeshore Dr, Helensvale, QLD 4212",Helensvale,4212,,15 Dec 2025,3,2,5,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/45-lakeshore-dr-helensvale-qld-4212-2902170,Lj Hooker Pacific Pines | Helensvale,LJ Hooker Pacific Pines
"6 Dalby Ct, Helensvale, QLD 4212",Helensvale,4212,1150000,15 Dec 2025,4,2,3,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/6-dalby-ct-helensvale-qld-4212-2918998,Agent name not disclosed,Coronis Gold Coast
"2/6-12 Monterey Keys Dr, Helensvale, QLD 4212",Helensvale,4212,1400000,15 Dec 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/2-6--12-monterey-keys-dr-helensvale-qld-4212-2919128,Evan Molloy,Hope Island Realty
"229 Discovery Dr, Helensvale, QLD 4212",Helensvale,4212,1150000,8 Dec 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/229-discovery-dr-helensvale-qld-4212-2912121,Aaron Lau,One Percent Property Sales
"157 Monterey Keys Dr, Helensvale, QLD 4212",Helensvale,4212,1325000,8 Dec 2025,3,2,7,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/157-monterey-keys-dr-helensvale-qld-4212-2913478,Mark Carew,Professionals Vertullo Real Estate
"36 Audrey Ave, Helensvale, QLD 4212",Helensvale,4212,,3 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/36-audrey-ave-helensvale-qld-4212-2904636,Adam Hope,LJ Hooker Pacific Pines
"16 Balranald Ct, Helensvale, QLD 4212",Helensvale,4212,1165000,3 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/16-balranald-ct-helensvale-qld-4212-5264092,Agent name not disclosed,TheOnsiteManager
"1 Singleton Ct, Helensvale, QLD 4212",Helensvale,4212,,2 Dec 2025,4,2,2,795,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/1-singleton-ct-helensvale-qld-4212-2916308,A D,Ray White Coomera New
"10 Erindale Ct, Helensvale, QLD 4212",Helensvale,4212,,16 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/helensvale-4212/10-erindale-ct-helensvale-qld-4212-2912779,Sam Tahana,Ray White Burleigh Group
"306 Ron Penhaligon Way, Robina, QLD 4226",Robina,4226,1600000,2 Jan 2026,3,2,2,521,House,,https://www.onthehouse.com.au/property/qld/robina-4226/306-ron-penhaligon-way-robina-qld-4226-5983695,Karyn O'Dea,Ray White Robina
"18 Pine Valley Dr, Robina, QLD 4226",Robina,4226,,23 Dec 2025,3,2,2,322,House,,https://www.onthehouse.com.au/property/qld/robina-4226/18-pine-valley-dr-robina-qld-4226-3258065,Leanne Jenke,Ray White Robina
"12 Carnoustie Ct, Robina, QLD 4226",Robina,4226,1530000,23 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/12-carnoustie-ct-robina-qld-4226-3220934,Julianne Petersen,Gold Coast Property Sales and Rentals
"6 Macedon Cl, Robina, QLD 4226",Robina,4226,,23 Dec 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/6-macedon-cl-robina-qld-4226-3229527,Agent name not disclosed,RE/MAX REGENCY
"10 Huntingdale Cres, Robina, QLD 4226",Robina,4226,1600000,22 Dec 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/10-huntingdale-cres-robina-qld-4226-3248172,Aaron Highfield,Real Specialists Head Office
"10/24 Ron Penhaligon Way, Robina, QLD 4226",Robina,4226,1280000,19 Dec 2025,3,3,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/10-24-ron-penhaligon-way-robina-qld-4226-3693150,John Whiteway,Astras Prestige Property
"28 Emerton Cres, Robina, QLD 4226",Robina,4226,1450000,17 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/28-emerton-cres-robina-qld-4226-5271192,Joel Madam,COASTAL °
"2/128 Cottesloe Dr, Robina, QLD 4226",Robina,4226,946000,17 Dec 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/2-128-cottesloe-dr-robina-qld-4226-3694601,Julianne Petersen,Gold Coast Property Sales and Rentals
"9 Applegum Ct, Robina, QLD 4226",Robina,4226,1805000,15 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/9-applegum-ct-robina-qld-4226-3262238,Agent name not disclosed,Coronis Gold Coast
"40 Tullamarine Dr, Robina, QLD 4226",Robina,4226,1695000,11 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/40-tullamarine-dr-robina-qld-4226-3248303,Agent name not disclosed,RE/MAX REGENCY
"3 Mordialloc Pl, Robina, QLD 4226",Robina,4226,1800000,10 Dec 2025,4,2,2,892,House,,https://www.onthehouse.com.au/property/qld/robina-4226/3-mordialloc-pl-robina-qld-4226-12074475,Karen Mcdonald,COASTAL °
"3 Carpentaria Ct, Robina, QLD 4226",Robina,4226,1400000,8 Dec 2025,4,2,4,,House,,https://www.onthehouse.com.au/property/qld/robina-4226/3-carpentaria-ct-robina-qld-4226-3260556,Julianne Petersen,Gold Coast Property Sales and Rentals
